what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1366734671687
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1366734673406
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1366734673687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366734673937
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1366734675281
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1366734675453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366734675734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366734677515
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366734684234
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366734684468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366734688437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366734772718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366734781421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366734782062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366734785984
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1366734789656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366734811687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366734838437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366734852703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366735548531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366735549062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366735837875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366735838968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811777625
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366811779625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811782296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366811782890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366811790031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811794078
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366811794343
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366811794484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811795578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811799140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366811801593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811802484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811808171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366811809796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366811810687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811815093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366811861468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366811864531
